ID	[ADD CALENDAR ID HERE]
Name	StartTime	EndTime	TimeZone	Location	Description	MoreDetails	IsScheduled
Aspiring Technologists GHC Bootcamp (Invite Only)	Tuesday, October 1, 2019 11:00 AM	Tuesday, October 1, 2019 3:00 PM	UTC-4	OCCC W230C	Audience Level: Invite Only | Track: Invite Only | Start Date: Tuesday, October 1, 2019 | Start Time: 11:00 AM | End Time: 3:00 PM | Location: OCCC W230C	AnitaB.org is supporting alumnae from girl-in-tech programs in attending GHC 19 for the first time. Navigating GHC can be a daunting task, so AnitaB.org is conducting the Aspiring Technologists Bootcamp; a special program designed to help this group of young women connect, build a plan for getting the most out of GHC programming, and prepare for the next steps of their career journey.	N
First Timer's Orientation	Tuesday, October 1, 2019 3:30 PM	Tuesday, October 1, 2019 4:30 PM	UTC-4	OCCC Chapin Theater (Lvl 3)	Audience Level: All | Track: Featured Session | Start Date: Tuesday, October 1, 2019 | Start Time: 3:30 PM | End Time: 4:30 PM | Location: OCCC Chapin Theater (Lvl 3) | Speakers: Beth Roberts, Stuti Badoni, Tamera Tolbert, Crystal Cooper, Mitzi Iniguez	Come learn about all of the exciting opportunities available at GHC 19. Hear from organizers of the event and learn tips and tricks to get the most out of your time.	N
Session Chair Orientation (Invite Only)	Tuesday, October 1, 2019 4:00 PM	Tuesday, October 1, 2019 5:00 PM	UTC-4	OCCC W300	Audience Level: Invite Only | Track: Invite Only | Start Date: Tuesday, October 1, 2019 | Start Time: 4:00 PM | End Time: 5:00 PM | Location: OCCC W300	If you've been selected to serve as a session chair, thank you! Come for a brief overview of duties, rules for speakers and reporting expectations. Bring your questions and we will be ready with answers.	N
Career Fair Hall Crawl	Tuesday, October 1, 2019 5:00 PM	Tuesday, October 1, 2019 6:30 PM	UTC-4	OCCC Hall WA4/WB1	Audience Level: All | Start Date: Tuesday, October 1, 2019 | Start Time: 5:00 PM | End Time: 6:30 PM | Location: OCCC Hall WA4/WB1	"The Career Fair Hall Crawl offers you the chance to check out the Career Fair and Technology Showcase before things get into full swing. Mingle while enjoying beverages & snacks, or purchase limited edition GHC 19 swag. Visit the AnitaB.org booth to meet AnitaB.org staff and Local community members. The Career Fair Hall Crawl takes place on Tuesday, October 1, 5–6:30 p.m. 

No need to add this to your agenda, but badges are required."	N
Aspiring Technologist and Community Cohort Networking Reception (Invite Only)	Tuesday, October 1, 2019 6:30 PM	Tuesday, October 1, 2019 9:00 PM	UTC-4	Rosen Centre Grand Ballroom A	Audience Level: Invite Only | Track: Invite Only | Start Date: Tuesday, October 1, 2019 | Start Time: 6:30 PM | End Time: 9:00 PM | Location: Rosen Centre Grand Ballroom A	AnitaB.org is excited to welcome women from the Aspiring Technologist and Community Cohorts to GHC 19. This group of women represent the future of tech, and this invite-only networking reception will provide them with an opportunity to build relationships with one another in a relaxed, fun environment featuring food, music, and games.	N
Speakers' Reception (Invite Only)	Tuesday, October 1, 2019 7:00 PM	Tuesday, October 1, 2019 8:30 PM	UTC-4	Hyatt Windermere Ballroom X	Audience Level: Invite Only | Track: Invite Only | Start Date: Tuesday, October 1, 2019 | Start Time: 7:00 PM | End Time: 8:30 PM | Location: Hyatt Windermere Ballroom X	Accepted speakers are invited to join us for an evening reception to meet the GHC Programs Team, our track chairs, and network with other speakers and reception sponsors. Advanced RSVP is required.	N
Hoppers Orientation (invite only)	Tuesday, October 1, 2019 7:00 PM	Tuesday, October 1, 2019 8:00 PM	UTC-4	OCCC W222B	Audience Level: Invite Only | Track: Invite Only | Start Date: Tuesday, October 1, 2019 | Start Time: 7:00 PM | End Time: 8:00 PM | Location: OCCC W222B	Hoppers will meet other Hoppers, hear about their assignments and learn the rules they must follow while fulfilling their duties. They will also receive their Hopper t-shirt. This session is required for all Hoppers.	N
Community Blogger/ Notetaker/ Mentor Volunteer Orientation	Wednesday, October 2, 2019 6:45 AM	Wednesday, October 2, 2019 8:00 AM	UTC-4	OCCC WF2	Track: Communities | Start Date: Wednesday, October 2, 2019 | Start Time: 6:45 AM | End Time: 8:00 AM | Location: OCCC WF2	"The Anita|Bees committee manages our volunteers for Speed Mentoring and Bloggers and Notetakers. This session is an ""Ask Me Anything"" to answer any questions volunteers may have, and a ""What You Need to Know"" to be set up for success as a volunteer. We will be offering coffee and breakfast to get our volunteers ready for a day of documenting this exciting Celebration of Women Technologists."	N
Hoppers Lounge	Wednesday, October 2, 2019 8:00 AM	Wednesday, October 2, 2019 6:00 PM	UTC-4	OCCC W209C	Audience Level: Invite Only | Track: Lounge | Start Date: Wednesday, October 2, 2019 | Start Time: 8:00 AM | End Time: 6:00 PM | Location: OCCC W209C	The Hoppers Lounge is a room where Hoppers only can take breaks, and chat with other Hoppers.	N
Wednesday Keynote: Aicha Evans and Ana Roca Castro	Wednesday, October 2, 2019 9:00 AM	Wednesday, October 2, 2019 10:45 AM	UTC-4	OCCC Hall WA3	Audience Level: All | Track: General Session | Start Date: Wednesday, October 2, 2019 | Start Time: 9:00 AM | End Time: 10:45 AM | Location: OCCC Hall WA3 | Speakers: Natalya Bailey, Jhillika Kumar, Fei-Fei Li, Aicha Evans, Ana Roca Castro, Brenda Darden Wilkerson	"Developing the future of autonomous mobility with fully autonomous electric vehicles…

Igniting the genius in every child using technology to bring the best quality education to communities around the world, especially the most underserved…

Democratizing AI, pioneering future technological innovations, and advocating diversity in STEM and AI internationally…

Inventing a new form of propulsion engine that made use of a liquid ion propulsion technology for small satellites that is safer to handle, cheaper to produce, and smaller in terms of mass and volume…

We will change the world.  Come hear amazing women leaders, innovators and thought leaders at the GHC 19 Opening Keynote!"	N
AZ573: Design It: Bring Forth the Innovation	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:30 PM	UTC-4	OCCC W414A	Audience Level: Beginning | Track: Products A to Z | Focus Area: Conceptualization | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:30 PM | Location: OCCC W414A | Speakers: Katherine Kahla	This workshop will broaden the audience's ability to develop ideas and transform them into a viable solution. This process of design thinking is applicable to all capabilities and situations that are in need of teamwork, collaboration, and new ways of thinking.	N
